,perp_sex,latitude,arrest_precinct,age_group,law_code,arrest_boro,longitude,ofns_desc,perp_race,law_cat_cd,geometry,arrest_zipcode,ofns_cat,near_school,severe,Zipcode,Zip Radius,Population,Population Density,Land Area,Water Area,Zip Home Value,Zip Income
13,M,40.86522278,49,25-44,VTL0511001,B,-73.83618557,VEHICLE AND TRAFFIC LAWS,BLACK,M,POINT (1029560.0020593966 254543.9993252088),10469,Motor Vehicle,False,False,10469,1.0,66631.0,26903.0,2.48,0.0,427100.0,57776.0
14,M,40.607881,120,25-44,PL 215510C,S,-74.065068,MISCELLANEOUS PENAL LAW,WHITE,F,POINT (966182.9629681152 160750.54177947182),10305,Miscellaneous,False,True,10305,4.0,41749.0,9819.0,4.25,0.02,415300.0,70758.0
15,M,40.84424,49,25-44,PL 12005A3,B,-73.839868,FELONY ASSAULT,WHITE HISPANIC,F,POINT (1028555.4422198202 246897.29838187093),10461,Assault,False,True,10461,1.0,50502.0,21045.0,2.4,0.0,454700.0,52347.0
16,M,40.733729,110,45-64,PL 1552500,Q,-73.871197,PETIT LARCENY,BLACK,M,POINT (1019946.5205865841 206620.08810300598),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
17,M,40.733876,6,25-44,PL 1200001,M,-74.005428,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (982745.6844484449 206647.44733067378),10014,Assault,False,False,10014,1.0,31959.0,56119.0,0.57,0.0,947300.0,108483.0
18,M,40.644996,120,25-44,PL 160102A,S,-74.077263,ROBBERY,BLACK,F,POINT (962808.7788019167 174275.26945631948),10301,Robbery,False,True,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
19,F,40.637943,120,25-44,PL 1200502,S,-74.077434,FELONY ASSAULT,WHITE HISPANIC,F,POINT (962759.0532107743 171705.7126689053),10301,Assault,False,True,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
20,F,40.644996,120,25-44,PL 1553005,S,-74.077263,GRAND LARCENY,WHITE,F,POINT (962808.7788019167 174275.26945631948),10301,Larceny,False,True,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
21,M,40.734955,110,45-64,PL 1552500,Q,-73.874983,PETIT LARCENY,BLACK,M,POINT (1018896.6301107805 207065.2378079015),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
22,M,40.645434,120,25-44,PL 1450502,S,-74.080804,CRIMINAL MISCHIEF & RELATED OF,BLACK,F,POINT (961826.264919814 174435.7313591915),10301,,True,True,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
23,F,40.871182,49,25-44,PL 2053000,B,-73.852957,OFFENSES AGAINST PUBLIC ADMINI,BLACK,M,POINT (1024917.4940072689 256706.94251555877),10469,Miscellaneous,False,False,10469,1.0,66631.0,26903.0,2.48,0.0,427100.0,57776.0
24,M,40.744195,110,45-64,PL 215510B,Q,-73.885607,MISCELLANEOUS PENAL LAW,WHITE HISPANIC,F,POINT (1015947.9496945362 210427.63614320225),11373,Miscellaneous,False,True,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
25,M,40.734955,110,45-64,PL 1552500,Q,-73.874983,PETIT LARCENY,BLACK,M,POINT (1018896.6301107805 207065.2378079015),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
26,M,40.87299327,49,18-24,PL 1702000,B,-73.85265828,OFFENSES INVOLVING FRAUD,BLACK,M,POINT (1024999.0005329574 257366.99747103755),10469,Fraud,False,False,10469,1.0,66631.0,26903.0,2.48,0.0,427100.0,57776.0
27,M,40.733876,6,<18,PL 1601504,M,-74.005428,ROBBERY,BLACK HISPANIC,F,POINT (982745.6844484449 206647.44733067378),10014,Robbery,False,True,10014,1.0,31959.0,56119.0,0.57,0.0,947300.0,108483.0
28,M,40.851104,34,25-44,PL 2155003,M,-73.935254,OFFENSES AGAINST PUBLIC ADMINI,BLACK HISPANIC,M,POINT (1002162.1318970234 249364.23683790537),10033,Miscellaneous,True,False,10033,1.0,53926.0,89201.0,0.6,0.0,422100.0,41556.0
29,M,40.695404,84,18-24,PL 1553001,K,-73.983239,GRAND LARCENY,BLACK,F,POINT (988897.8243213419 192631.3246128364),11240,Larceny,False,True,11240,,,,,,,
30,M,40.744203,110,18-24,PL 1703000,Q,-73.860817,FORGERY,WHITE HISPANIC,F,POINT (1022817.1728181904 210440.49330391161),11368,Miscellaneous,False,True,11368,1.0,109931.0,41768.0,2.63,0.04,480900.0,45964.0
31,M,40.733729,110,18-24,PL 1552500,Q,-73.871197,PETIT LARCENY,WHITE HISPANIC,M,POINT (1019946.5205865841 206620.08810300598),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
32,M,40.733398,6,25-44,PL 1553004,M,-74.006351,GRAND LARCENY,BLACK,F,POINT (982489.8716652101 206473.31413277448),10014,Larceny,True,True,10014,1.0,31959.0,56119.0,0.57,0.0,947300.0,108483.0
33,M,40.687025,84,45-64,PL 1200001,K,-73.982024,ASSAULT 3 & RELATED OFFENSES,WHITE HISPANIC,M,POINT (989235.3701995793 189578.67599783879),11240,Assault,True,False,11240,,,,,,,
34,M,40.749918,110,45-64,PL 1600500,Q,-73.862239,ROBBERY,ASIAN / PACIFIC ISLANDER,F,POINT (1022419.8668712358 212522.02558304876),11372,Robbery,False,True,11372,0.9090909090909091,66636.0,90360.0,0.74,0.0,265500.0,48683.0
35,F,40.637813,120,25-44,PL 1553001,S,-74.079688,GRAND LARCENY,WHITE HISPANIC,F,POINT (962133.4376256434 171658.91121286253),10301,Larceny,True,True,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
36,M,40.733876,6,45-64,PL 1553005,M,-74.005428,GRAND LARCENY,BLACK,F,POINT (982745.6844484449 206647.44733067378),10014,Larceny,False,True,10014,1.0,31959.0,56119.0,0.57,0.0,947300.0,108483.0
37,M,40.695894,83,25-44,PL 1211100,K,-73.919288,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (1006631.2653675093 192819.71246313673),11237,Assault,False,False,11237,1.0,49896.0,50927.0,0.98,0.02,464500.0,40372.0
38,M,40.6447209438691,120,25-44,PL 1305201,S,-74.0770327198983,SEX CRIMES,BLACK,M,POINT (962872.595590561 174175.00274750162),10301,Sex Crimes,False,False,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
39,M,40.6954388081238,84,45-64,PL 1306503,K,-73.9832253756043,SEX CRIMES,BLACK,F,POINT (988901.5999369303 192644.00696304993),11240,Sex Crimes,False,True,11240,,,,,,,
40,M,40.648698,69,18-24,PL 1200001,K,-73.905128,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (1010576.424571428 175628.810070086),11236,Assault,False,False,11236,2.0,93877.0,26112.0,3.6,0.03,478700.0,61061.0
41,M,40.687025,84,45-64,PL 12070E1,K,-73.982024,KIDNAPPING,ASIAN / PACIFIC ISLANDER,F,POINT (989235.3701995793 189578.67599783879),11240,,True,True,11240,,,,,,,
42,M,40.637813,120,25-44,PL 1200501,S,-74.079688,FELONY ASSAULT,WHITE HISPANIC,F,POINT (962133.4376256434 171658.91121286253),10301,Assault,True,True,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
43,M,40.644996,120,<18,PL 265033S,S,-74.077263,DANGEROUS WEAPONS,BLACK,F,POINT (962808.7788019167 174275.26945631948),10301,Weapons,False,True,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
44,M,40.85242466,49,25-44,VTL0511001,B,-73.86872428,VEHICLE AND TRAFFIC LAWS,WHITE HISPANIC,M,POINT (1020567.0027144828 249865.9967354642),10460,Motor Vehicle,False,False,10460,1.0,57311.0,43567.0,1.32,0.0,391700.0,22307.0
45,M,40.690115,84,25-44,PL 2650101,K,-73.989019,DANGEROUS WEAPONS,WHITE,M,POINT (987295.2722262561 190704.13260921603),11201,Weapons,True,False,11201,1.0,51128.0,35981.0,1.42,0.01,669000.0,95369.0
46,M,40.851104,34,25-44,PL 1200001,M,-73.935254,ASSAULT 3 & RELATED OFFENSES,BLACK HISPANIC,M,POINT (1002162.1318970234 249364.23683790537),10033,Assault,True,False,10033,1.0,53926.0,89201.0,0.6,0.0,422100.0,41556.0
47,M,40.644996,120,18-24,PL 1601504,S,-74.077263,ROBBERY,BLACK HISPANIC,F,POINT (962808.7788019167 174275.26945631948),10301,Robbery,False,True,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
48,F,40.644996,120,25-44,PL 215510B,S,-74.077263,MISCELLANEOUS PENAL LAW,WHITE,F,POINT (962808.7788019167 174275.26945631948),10301,Miscellaneous,False,True,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
49,M,40.674616,76,45-64,PL 2200300,K,-74.003983,DANGEROUS DRUGS,WHITE HISPANIC,M,POINT (983145.1699553054 185057.23271603807),11231,Drugs,False,False,11231,1.0,33336.0,23441.0,1.42,0.03,912000.0,78174.0
50,M,40.734955,110,45-64,PL 1552500,Q,-73.874983,PETIT LARCENY,BLACK,M,POINT (1018896.6301107805 207065.2378079015),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
51,M,40.855793,49,25-44,PL 1402000,B,-73.843908,BURGLARY,UNKNOWN,F,POINT (1027430.1526952469 251104.4709877211),10461,Burglary,False,True,10461,1.0,50502.0,21045.0,2.4,0.0,454700.0,52347.0
52,M,40.695404,84,25-44,PL 1201401,K,-73.983239,ASSAULT 3 & RELATED OFFENSES,BLACK HISPANIC,M,POINT (988897.8243213419 192631.3246128364),11240,Assault,False,False,11240,,,,,,,
53,F,40.73066902,6,25-44,PL 2200300,M,-73.99885262,DANGEROUS DRUGS,WHITE HISPANIC,M,POINT (984568.0001196794 205478.99959600114),10012,Drugs,False,False,10012,0.5681818181818182,24090.0,74517.0,0.32,0.0,1000001.0,86594.0
54,M,40.661788,105,18-24,PL 265031B,Q,-73.73704,DANGEROUS WEAPONS,BLACK,F,POINT (1057205.448877108 180493.10738576518),11422,Weapons,False,True,11422,3.0,30425.0,15456.0,1.97,0.08,413800.0,84824.0
55,M,40.733398,6,25-44,PL 1552500,M,-74.006351,PETIT LARCENY,BLACK,M,POINT (982489.8716652101 206473.31413277448),10014,Larceny,True,False,10014,1.0,31959.0,56119.0,0.57,0.0,947300.0,108483.0
56,M,40.73066902,6,25-44,PL 1200502,M,-73.99885262,FELONY ASSAULT,WHITE HISPANIC,F,POINT (984568.0001196794 205478.99959600114),10012,Assault,False,True,10012,0.5681818181818182,24090.0,74517.0,0.32,0.0,1000001.0,86594.0
57,M,40.698323,83,25-44,PL 1600500,K,-73.917495,ROBBERY,WHITE HISPANIC,F,POINT (1007127.6267840671 193705.13188356662),11237,Robbery,True,True,11237,1.0,49896.0,50927.0,0.98,0.02,464500.0,40372.0
58,M,40.733876,6,25-44,PL 1200502,M,-74.005428,FELONY ASSAULT,BLACK,F,POINT (982745.6844484449 206647.44733067378),10014,Assault,False,True,10014,1.0,31959.0,56119.0,0.57,0.0,947300.0,108483.0
59,M,40.734955,110,45-64,PL 1552500,Q,-73.874983,PETIT LARCENY,BLACK,M,POINT (1018896.6301107805 207065.2378079015),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
60,M,40.60800222,62,25-44,PL 2200300,K,-74.0017179,DANGEROUS DRUGS,WHITE HISPANIC,M,POINT (983773.0019454503 160787.9998649447),11214,Drugs,False,False,11214,2.0,88630.0,40566.0,2.18,0.0,598800.0,43398.0
61,M,40.602464,62,18-24,PL 1600500,K,-74.00346,ROBBERY,WHITE HISPANIC,F,POINT (983289.2047376903 158770.29769461742),11214,Robbery,False,True,11214,2.0,88630.0,40566.0,2.18,0.0,598800.0,43398.0
62,M,40.644996,120,25-44,PL 2201601,S,-74.077263,DANGEROUS DRUGS,BLACK,F,POINT (962808.7788019167 174275.26945631948),10301,Drugs,False,True,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
63,M,40.602464,62,45-64,PL 1201401,K,-74.00346,ASSAULT 3 & RELATED OFFENSES,WHITE HISPANIC,M,POINT (983289.2047376903 158770.29769461742),11214,Assault,False,False,11214,2.0,88630.0,40566.0,2.18,0.0,598800.0,43398.0
64,M,40.80855,28,<18,PL 1200001,M,-73.952355,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (997439.5336862253 233857.21806246275),10027,Assault,False,False,10027,1.0,59707.0,68513.0,0.87,0.0,716100.0,37872.0
65,M,40.734955,110,45-64,PL 1552500,Q,-73.874983,PETIT LARCENY,BLACK,M,POINT (1018896.6301107805 207065.2378079015),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
66,M,40.855793,49,25-44,PL 1200001,B,-73.843908,ASSAULT 3 & RELATED OFFENSES,WHITE HISPANIC,M,POINT (1027430.1526952469 251104.4709877211),10461,Assault,False,False,10461,1.0,50502.0,21045.0,2.4,0.0,454700.0,52347.0
67,M,40.729884,6,45-64,PL 1552500,M,-74.00493,PETIT LARCENY,BLACK,M,POINT (982883.6182798023 205193.02868095442),10012,Larceny,True,False,10012,0.5681818181818182,24090.0,74517.0,0.32,0.0,1000001.0,86594.0
68,M,40.674616,76,45-64,PL 1552500,K,-74.003983,PETIT LARCENY,WHITE HISPANIC,M,POINT (983145.1699553054 185057.23271603807),11231,Larceny,False,False,11231,1.0,33336.0,23441.0,1.42,0.03,912000.0,78174.0
69,M,40.84424,49,25-44,PL 12005A3,B,-73.839868,FELONY ASSAULT,WHITE HISPANIC,F,POINT (1028555.4422198202 246897.29838187093),10461,Assault,False,True,10461,1.0,50502.0,21045.0,2.4,0.0,454700.0,52347.0
70,M,40.698323,83,25-44,PL 215510B,K,-73.917495,MISCELLANEOUS PENAL LAW,BLACK,F,POINT (1007127.6267840671 193705.13188356662),11237,Miscellaneous,True,True,11237,1.0,49896.0,50927.0,0.98,0.02,464500.0,40372.0
71,M,40.850803,34,25-44,PL 1200502,M,-73.931738,FELONY ASSAULT,BLACK HISPANIC,F,POINT (1003134.9267643772 249255.30959936243),10033,Assault,True,True,10033,1.0,53926.0,89201.0,0.6,0.0,422100.0,41556.0
72,M,40.807639,28,45-64,PL 2403005,M,-73.951162,OFF. AGNST PUB ORD SENSBLTY &,BLACK,M,POINT (997769.9760988103 233525.4904088517),10027,Miscellaneous,True,False,10027,1.0,59707.0,68513.0,0.87,0.0,716100.0,37872.0
73,M,40.855793,49,25-44,PL 1402000,B,-73.843908,BURGLARY,UNKNOWN,F,POINT (1027430.1526952469 251104.4709877211),10461,Burglary,False,True,10461,1.0,50502.0,21045.0,2.4,0.0,454700.0,52347.0
74,M,40.84424,49,25-44,PL 12005A3,B,-73.839868,FELONY ASSAULT,WHITE HISPANIC,F,POINT (1028555.4422198202 246897.29838187093),10461,Assault,False,True,10461,1.0,50502.0,21045.0,2.4,0.0,454700.0,52347.0
75,F,40.607881,120,25-44,PL 215510C,S,-74.065068,MISCELLANEOUS PENAL LAW,WHITE,F,POINT (966182.9629681152 160750.54177947182),10305,Miscellaneous,False,True,10305,4.0,41749.0,9819.0,4.25,0.02,415300.0,70758.0
76,M,40.853985,34,25-44,PL 1200001,M,-73.934883,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (1002263.9896108635 250413.97086048732),10033,Assault,False,False,10033,1.0,53926.0,89201.0,0.6,0.0,422100.0,41556.0
77,M,40.73066902,6,45-64,PL 2200300,M,-73.99885262,DANGEROUS DRUGS,BLACK,M,POINT (984568.0001196794 205478.99959600114),10012,Drugs,False,False,10012,0.5681818181818182,24090.0,74517.0,0.32,0.0,1000001.0,86594.0
78,M,40.701894,83,45-64,PL 1552500,K,-73.921605,PETIT LARCENY,WHITE HISPANIC,M,POINT (1005986.8100485124 195005.10621338393),11237,Larceny,False,False,11237,1.0,49896.0,50927.0,0.98,0.02,464500.0,40372.0
79,M,40.69223342,84,18-24,PL 1200001,K,-73.98729955,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (987772.001532114 191475.9995982766),11201,Assault,False,False,11201,1.0,51128.0,35981.0,1.42,0.01,669000.0,95369.0
80,M,40.644996,120,18-24,PL 1200001,S,-74.077263,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (962808.7788019167 174275.26945631948),10301,Assault,False,False,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
81,M,40.855793,49,45-64,PL 160102A,B,-73.843908,ROBBERY,WHITE HISPANIC,F,POINT (1027430.1526952469 251104.4709877211),10461,Robbery,False,True,10461,1.0,50502.0,21045.0,2.4,0.0,454700.0,52347.0
82,M,40.800647,28,25-44,PL 121110A,M,-73.94858,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (998486.2544990968 230978.46812383525),10026,Assault,False,False,10026,0.6818181818181818,34003.0,102315.0,0.33,0.0,602400.0,43107.0
83,M,40.623889,120,25-44,PL 2200300,S,-74.076571,DANGEROUS DRUGS,WHITE,M,POINT (962994.0934749368 166585.25558144864),10301,Drugs,False,False,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
84,M,40.733729,110,25-44,PL 1552500,Q,-73.871197,PETIT LARCENY,WHITE,M,POINT (1019946.5205865841 206620.08810300598),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
85,M,40.616946,120,25-44,PL 265031B,S,-74.082242,DANGEROUS WEAPONS,BLACK,F,POINT (961417.4644853548 164057.16576437853),10304,Weapons,False,True,10304,3.0,42193.0,10889.0,3.87,0.01,403700.0,53168.0
86,M,40.642699,120,45-64,TAX1803000,S,-74.076717,OTHER STATE LAWS (NON PENAL LA,ASIAN / PACIFIC ISLANDER,F,POINT (962959.5660677952 173438.276821853),10301,,False,True,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
87,M,40.734955,110,45-64,PL 1552500,Q,-73.874983,PETIT LARCENY,BLACK,M,POINT (1018896.6301107805 207065.2378079015),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
88,M,40.594054,61,25-44,PL 2200300,K,-73.960866,DANGEROUS DRUGS,WHITE,M,POINT (995118.3516490525 155708.72850338212),11223,Drugs,False,False,11223,1.0,78731.0,37956.0,2.07,0.0,613000.0,41328.0
89,M,40.689243,84,25-44,VTL0511001,K,-73.983265,VEHICLE AND TRAFFIC LAWS,ASIAN / PACIFIC ISLANDER,M,POINT (988891.0433485911 190386.68994148343),11240,Motor Vehicle,False,False,11240,,,,,,,
90,M,40.80855,28,25-44,PL 1200502,M,-73.952355,FELONY ASSAULT,BLACK,F,POINT (997439.5336862253 233857.21806246275),10027,Assault,False,True,10027,1.0,59707.0,68513.0,0.87,0.0,716100.0,37872.0
91,M,40.73066902,6,25-44,PL 2650201,M,-73.99885262,DANGEROUS WEAPONS,BLACK,F,POINT (984568.0001196794 205478.99959600114),10012,Weapons,False,True,10012,0.5681818181818182,24090.0,74517.0,0.32,0.0,1000001.0,86594.0
92,M,40.75275415,110,45-64,VTL11920U2,Q,-73.85189919,INTOXICATED & IMPAIRED DRIVING,WHITE,M,POINT (1025283.000409319 213559.99969587955),11368,,False,False,11368,1.0,109931.0,41768.0,2.63,0.04,480900.0,45964.0
93,M,40.639711,120,45-64,PL 1211100,S,-74.094199,ASSAULT 3 & RELATED OFFENSES,WHITE HISPANIC,M,POINT (958106.8079464741 172354.40093780225),10301,Assault,False,False,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
94,M,40.734955,110,45-64,PL 1552500,Q,-73.874983,PETIT LARCENY,BLACK,M,POINT (1018896.6301107805 207065.2378079015),11373,Larceny,False,False,11373,0.9659090909090909,100820.0,66007.0,1.53,0.0,499600.0,47667.0
95,M,40.601713,62,18-24,PL 2201601,K,-73.993431,DANGEROUS DRUGS,ASIAN / PACIFIC ISLANDER,F,POINT (986074.1430828598 158496.73852115133),11214,Drugs,False,True,11214,2.0,88630.0,40566.0,2.18,0.0,598800.0,43398.0
96,M,40.61592889,120,25-44,VTL0512000,S,-74.08741476,VEHICLE AND TRAFFIC LAWS,BLACK,M,POINT (959981.0013587445 163687.99680812238),10304,Motor Vehicle,False,False,10304,3.0,42193.0,10889.0,3.87,0.01,403700.0,53168.0
97,M,40.63778217,120,45-64,PL 2200300,S,-74.07694038,DANGEROUS DRUGS,WHITE,M,POINT (962896.00045851 171646.99725447266),10301,Drugs,False,False,10301,2.0,39706.0,10852.0,3.66,0.01,402300.0,56848.0
98,M,40.687025,84,25-44,PL 1200502,K,-73.982024,FELONY ASSAULT,BLACK,F,POINT (989235.3701995793 189578.67599783879),11240,Assault,True,True,11240,,,,,,,
99,M,40.752522,14,25-44,PL 2201602,M,-73.993222,DANGEROUS DRUGS,BLACK,F,POINT (986127.9288124457 213440.80529863422),10098,Drugs,False,True,10098,,,,,,,
100,F,40.74902255,14,18-24,PL 1402000,M,-73.98803942,BURGLARY,BLACK,F,POINT (987564.0008395836 212165.99638247504),10098,Burglary,False,True,10098,,,,,,,
101,M,40.68964,81,18-24,PL 1200502,K,-73.924051,FELONY ASSAULT,BLACK,F,POINT (1005312.4715031391 190540.016177387),11221,Assault,True,True,11221,1.0,78895.0,57033.0,1.38,0.0,543800.0,39178.0
102,M,40.750423,14,18-24,PL 1552500,M,-73.98928,PETIT LARCENY,WHITE HISPANIC,M,POINT (987220.2022972112 212676.18090838782),10098,Larceny,False,False,10098,,,,,,,
103,M,40.689088,81,25-44,PL 1700500,K,-73.925615,OFFENSES INVOLVING FRAUD,BLACK,M,POINT (1004878.9078337479 190338.53431810805),11221,Fraud,True,False,11221,1.0,78895.0,57033.0,1.38,0.0,543800.0,39178.0
104,M,40.616055,68,25-44,PL 1650501,K,-74.017222,UNAUTHORIZED USE OF A VEHICLE,WHITE,M,POINT (979468.6567616512 163722.3027786625),11228,Motor Vehicle,False,False,11228,1.0,41788.0,28428.0,1.47,0.0,681700.0,61893.0
105,M,40.773874,20,25-44,PL 1202500,M,-73.988068,MISCELLANEOUS PENAL LAW,BLACK,F,POINT (987554.8486690075 221220.1941562352),10019,Miscellaneous,False,True,10019,0.9090909090909091,42870.0,63042.0,0.68,0.0,808600.0,84424.0
106,M,40.752877,14,25-44,PL 2200300,M,-73.991111,DANGEROUS DRUGS,WHITE,M,POINT (986712.794370431 213570.19558794997),10098,Drugs,False,False,10098,,,,,,,
107,M,40.7565675846374,115,25-44,PL 2601001,Q,-73.8759315341335,SEX CRIMES,WHITE,M,POINT (1018622.6053788523 214939.01226995126),11369,Sex Crimes,True,False,11369,1.0,38615.0,36170.0,1.07,0.0,464500.0,53617.0
108,M,40.758153,115,25-44,PL 1702000,Q,-73.869671,OFFENSES INVOLVING FRAUD,WHITE HISPANIC,M,POINT (1020356.1973051708 215519.14871017743),11369,Fraud,False,False,11369,1.0,38615.0,36170.0,1.07,0.0,464500.0,53617.0
109,M,40.819221,43,18-24,PL 160102B,B,-73.846498,ROBBERY,WHITE HISPANIC,F,POINT (1026737.0241187046 237778.6845387902),10473,Robbery,False,True,10473,2.0,58519.0,26846.0,2.18,0.01,386600.0,35866.0
110,M,40.729059,107,25-44,CPL5700600,Q,-73.811018,(null),WHITE HISPANIC,,POINT (1036628.2042510248 204948.91733159256),11367,,False,False,11367,1.0,41047.0,17252.0,2.38,0.19,376400.0,56608.0
111,M,40.784499,20,45-64,PL 1553001,M,-73.97548,GRAND LARCENY,WHITE HISPANIC,F,POINT (991040.3083602445 225091.96593291857),10023,Larceny,False,True,10023,0.7386363636363636,60998.0,124357.0,0.49,0.0,872500.0,103534.0
112,M,40.57779992,60,18-24,PL 1200001,K,-73.9605636,ASSAULT 3 & RELATED OFFENSES,WHITE,M,POINT (995205.0006024068 149786.996989334),11235,Assault,False,False,11235,1.0,79132.0,35237.0,2.25,0.19,531000.0,41639.0
113,M,40.825811,43,25-44,PL 1450001,B,-73.863314,CRIMINAL MISCHIEF & RELATED OF,BLACK HISPANIC,M,POINT (1022078.868059065 240171.94834968064),10473,,False,False,10473,2.0,58519.0,26846.0,2.18,0.01,386600.0,35866.0
